"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2017-01-27T22:16:42Z"
"Version","20170127221642"
"OfferCode","AmazonS3"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","Product Family","serviceCode","Location","Location Type","Availability","Storage Class","Volume Type","Fee Code","Fee Description","Group","Group Description","Transfer Type","From Location","From Location Type","To Location","To Location Type","usageType","operation","Durability"
"SDHP4R7WGBVJPQPY","JRTCKXETXF","SDHP4R7WGBVJPQPY.JRTCKXETXF.WVV8R9FH29","OnDemand","$0.120 per GB - first 10 TB / month data transfer out beyond the global free tier","2017-01-01","1","10240","GB","0.1200000000","USD","Data Transfer","AWSDataTransfer",,,,,,,,,,"AWS Outbound","Asia Pacific (Singapore)","AWS Region","External","Other","APS1-DataTransfer-Out-Bytes","",
"SDHP4R7WGBVJPQPY","JRTCKXETXF","SDHP4R7WGBVJPQPY.JRTCKXETXF.VF6T3GAUKQ","OnDemand","$0.085 per GB - next 40 TB / month data transfer out","2017-01-01","10240","51200","GB","0.0850000000","USD","Data Transfer","AWSDataTransfer",,,,,,,,,,"AWS Outbound","Asia Pacific (Singapore)","AWS Region","External","Other","APS1-DataTransfer-Out-Bytes","",
"SDHP4R7WGBVJPQPY","JRTCKXETXF","SDHP4R7WGBVJPQPY.JRTCKXETXF.N9EW5UVVPA","OnDemand","$0.082 per GB - next 100 TB / month data transfer out","2017-01-01","51200","153600","GB","0.0820000000","USD","Data Transfer","AWSDataTransfer",,,,,,,,,,"AWS Outbound","Asia Pacific (Singapore)","AWS Region","External","Other","APS1-DataTransfer-Out-Bytes","",
"SDHP4R7WGBVJPQPY","JRTCKXETXF","SDHP4R7WGBVJPQPY.JRTCKXETXF.GPHXDESFBB","OnDemand","$0.080 per GB - greater than 150 TB / month data transfer out","2017-01-01","153600","Inf","GB","0.0800000000","USD","Data Transfer","AWSDataTransfer",,,,,,,,,,"AWS Outbound","Asia Pacific (Singapore)","AWS Region","External","Other","APS1-DataTransfer-Out-Bytes","",
"F32WG242PR9CGSZ5","JRTCKXETXF","F32WG242PR9CGSZ5.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.00 per GB - US West (Northern California) data transfer from Asia Pacific (Mumbai)","2017-01-01","0","Inf","GB","0.0000000000","USD","Data Transfer","AWSDataTransfer",,,,,,,,,,"InterRegion Inbound","US West (N. California)","AWS Region","Asia Pacific (Mumbai)","AWS Region","USW1-APS3-AWS-In-Bytes","",
"9SP9MTBHBUF7DSV7","JRTCKXETXF","9SP9MTBHBUF7DSV7.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.080 per GB - Amazon S3 accelerated data transfer in (from outside US, Europe or Japan)","2017-01-01","0","Inf","GB","0.0800000000","USD","Data Transfer","AWSDataTransfer",,,,,,,,,,"Accelerated AWS Inbound using edge locations outside US, Europe or Japan","External","Other","Canada (Central)","AWS Region","CAN1-DataTransfer-In-ABytes-T2","",
"CDCE35WENTTJBHQ5","JRTCKXETXF","CDCE35WENTTJBHQ5.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.080 per GB - Amazon S3 accelerated data transfer in (from outside US, Europe or Japan)","2017-01-01","0","Inf","GB","0.0800000000","USD","Data Transfer","AWSDataTransfer",,,,,,,,,,"Accelerated AWS Inbound using edge locations outside US, Europe or Japan","External","Other","EU (London)","AWS Region","EUW2-DataTransfer-In-ABytes-T2","",
"D8ZBWSVHJ4CSVDFC","JRTCKXETXF","D8ZBWSVHJ4CSVDFC.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.040 per GB - US West (Oregon) Amazon S3 accelerated data transfer to Asia Pacific (Sydney)","2017-01-01","0","Inf","GB","0.0400000000","USD","Data Transfer","AWSDataTransfer",,,,,,,,,,"Accelerated InterRegion Outbound using edge locations outside US, Europe or Japan","US West (Oregon)","AWS Region","Asia Pacific (Sydney)","AWS Region","USW2-APS2-AWS-Out-ABytes-T2","",
"J9UXK5Y3TC8AJ4SC","JRTCKXETXF","J9UXK5Y3TC8AJ4SC.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.040 per GB - Asia Pacific (Sydney) Amazon S3 accelerated data transfer from Asia Pacific (Mumbai)","2017-01-01","0","Inf","GB","0.0400000000","USD","Data Transfer","AWSDataTransfer",,,,,,,,,,"Accelerated InterRegion Inbound using edge locations within US, Europe or Japan","Asia Pacific (Sydney)","AWS Region","Asia Pacific (Mumbai)","AWS Region","APS2-APS3-AWS-In-ABytes-T1","",
"PKC9TNBVZA4G6BZ5","JRTCKXETXF","PKC9TNBVZA4G6BZ5.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.09 per GB - Asia Pacific (Tokyo) data transfer to EU (London)","2017-01-01","0","Inf","GB","0.0900000000","USD","Data Transfer","AWSDataTransfer",,,,,,,,,,"InterRegion Outbound","Asia Pacific (Tokyo)","AWS Region","EU (London)","AWS Region","APN1-EUW2-AWS-Out-Bytes","",
"NN5J5ME5M6KMTJKX","JRTCKXETXF","NN5J5ME5M6KMTJKX.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.040 per GB - EU (London) Amazon S3 accelerated data transfer to Asia Pacific (Seoul)","2017-01-01","0","Inf","GB","0.0400000000","USD","Data Transfer","AWSDataTransfer",,,,,,,,,,"Accelerated InterRegion Outbound using edge locations within US, Europe or Japan","EU (London)","AWS Region","Asia Pacific (Seoul)","AWS Region","EUW2-APN2-AWS-Out-ABytes-T1","",
"8PZEMSSARPF29D58","JRTCKXETXF","8PZEMSSARPF29D58.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.03 per GB - AWS GovCloud (US) data transfer to Asia Pacific (Mumbai)","2017-01-01","0","Inf","GB","0.0300000000","USD","Data Transfer","AWSDataTransfer",,,,,,,,,,"InterRegion Outbound","AWS GovCloud (US)","AWS Region","Asia Pacific (Mumbai)","AWS Region","UGW1-APS3-AWS-Out-Bytes","",
"E28BE7D95SRXECJR","JRTCKXETXF","E28BE7D95SRXECJR.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.040 per GB - Asia Pacific (Mumbai) Amazon S3 accelerated data transfer to US East (Northern Virginia)","2017-01-01","0","Inf","GB","0.0400000000","USD","Data Transfer","AWSDataTransfer",,,,,,,,,,"Accelerated InterRegion Outbound using edge locations within US, Europe or Japan","Asia Pacific (Mumbai)","AWS Region","US East (N. Virginia)","AWS Region","APS3-USE1-AWS-Out-ABytes-T1","",
"GV66X38TC6GNWB4W","JRTCKXETXF","GV66X38TC6GNWB4W.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.040 per GB - US West (Northern California) Amazon S3 accelerated data transfer from Asia Pacific (Seoul)","2017-01-01","0","Inf","GB","0.0400000000","USD","Data Transfer","AWSDataTransfer",,,,,,,,,,"Accelerated InterRegion Inbound from close by location","US West (N. California)","AWS Region","Asia Pacific (Seoul)","AWS Region","USW1-APN2-AWS-In-ABytes","",
"R9DT92BCYWWH9KQW","JRTCKXETXF","R9DT92BCYWWH9KQW.JRTCKXETXF.6YNURZBX9Y","OnDemand","$0.0264 per GB - first 1 TB / month of storage used - Reduced Redundancy Storage","2017-01-01","0","1024","GB-Mo","0.0264000000","USD","Storage","AmazonS3","Asia Pacific (Tokyo)","AWS Region","99.99%","Non-Critical Data","Reduced Redundancy",,,,,,,,,,"APN1-TimedStorage-RRS-ByteHrs","","99.99%"
"R9DT92BCYWWH9KQW","JRTCKXETXF","R9DT92BCYWWH9KQW.JRTCKXETXF.QUZRP4P8Y4","OnDemand","$0.0259 per GB - next 49 TB / month of storage used - Reduced Redundancy Storage","2017-01-01","1024","51200","GB-Mo","0.0259000000","USD","Storage","AmazonS3","Asia Pacific (Tokyo)","AWS Region","99.99%","Non-Critical Data","Reduced Redundancy",,,,,,,,,,"APN1-TimedStorage-RRS-ByteHrs","","99.99%"
"R9DT92BCYWWH9KQW","JRTCKXETXF","R9DT92BCYWWH9KQW.JRTCKXETXF.D42MF2PVJS","OnDemand","$0.0255 per GB - next 450 TB / month of storage used - Reduced Redundancy Storage","2017-01-01","51200","512000","GB-Mo","0.0255000000","USD","Storage","AmazonS3","Asia Pacific (Tokyo)","AWS Region","99.99%","Non-Critical Data","Reduced Redundancy",,,,,,,,,,"APN1-TimedStorage-RRS-ByteHrs","","99.99%"
"R9DT92BCYWWH9KQW","JRTCKXETXF","R9DT92BCYWWH9KQW.JRTCKXETXF.YJ98HAVVPP","OnDemand","$0.0250 per GB - next 500 TB / month of storage used - Reduced Redundancy Storage","2017-01-01","512000","1024000","GB-Mo","0.0250000000","USD","Storage","AmazonS3","Asia Pacific (Tokyo)","AWS Region","99.99%","Non-Critical Data","Reduced Redundancy",,,,,,,,,,"APN1-TimedStorage-RRS-ByteHrs","","99.99%"
"R9DT92BCYWWH9KQW","JRTCKXETXF","R9DT92BCYWWH9KQW.JRTCKXETXF.J25EHUHHDK","OnDemand","$0.0246 per GB - next 4000 TB / month of storage used - Reduced Redundancy Storage","2017-01-01","1024000","5120000","GB-Mo","0.0246000000","USD","Storage","AmazonS3","Asia Pacific (Tokyo)","AWS Region","99.99%","Non-Critical Data","Reduced Redundancy",,,,,,,,,,"APN1-TimedStorage-RRS-ByteHrs","","99.99%"
"R9DT92BCYWWH9KQW","JRTCKXETXF","R9DT92BCYWWH9KQW.JRTCKXETXF.JR3K5QW8G3","OnDemand","$0.0242 per GB - storage used /  month over 5000 TB - Reduced Redundancy Storage","2017-01-01","5120000","Inf","GB-Mo","0.0242000000","USD","Storage","AmazonS3","Asia Pacific (Tokyo)","AWS Region","99.99%","Non-Critical Data","Reduced Redundancy",,,,,,,,,,"APN1-TimedStorage-RRS-ByteHrs","","99.99%"
"3GYMSBDNNT2SPFWT","JRTCKXETXF","3GYMSBDNNT2SPFWT.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.040 per GB - EU (Ireland) Amazon S3 accelerated data transfer to EU (Germany)","2017-01-01","0","Inf","GB","0.0400000000","USD","Data Transfer","AWSDataTransfer",,,,,,,,,,"Accelerated InterRegion Outbound using edge locations outside US, Europe or Japan","EU (Ireland)","AWS Region","US West (N. California)","AWS Region","EU-USW1-AWS-Out-ABytes-T2","",
